name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,5,2014-04-03 14:53:07,2014-04-03 14:53:18,0,4
DeRotterda.West.LW.LW02,1,2014-04-03 14:54:07,2014-04-03 14:54:17,4,1
DeRotterda.West.LW.LW02,4,2014-04-03 14:54:27,2014-04-03 14:54:35,1,0
DeRotterda.West.LW.LW02,4,2014-04-03 14:56:53,2014-04-03 14:57:20,0,17
DeRotterda.West.LW.LW02,2,2014-04-03 15:03:21,2014-04-03 15:03:33,17,11
DeRotterda.West.LW.LW02,10,2014-04-03 15:03:47,2014-04-03 15:04:08,11,0
DeRotterda.West.LW.LW02,0,2014-04-03 15:05:10,2014-04-03 15:05:54,0,35
DeRotterda.West.LW.LW02,4,2014-04-03 15:26:47,2014-04-03 15:28:09,35,25
DeRotterda.West.LW.LW02,7,2014-04-03 15:28:33,2014-04-03 15:29:08,25,0
DeRotterda.West.LW.LW02,4,2014-04-03 15:29:30,2014-04-03 15:30:04,0,25
DeRotterda.West.LW.LW02,3,2014-04-03 15:30:37,2014-04-03 15:31:08,25,3
DeRotterda.West.LW.LW02,6,2014-04-03 15:32:13,2014-04-03 15:32:20,3,2
DeRotterda.West.LW.LW02,1,2014-04-03 15:33:29,2014-04-03 15:33:39,2,0
DeRotterda.West.LW.LW02,4,2014-04-03 15:33:48,2014-04-03 15:34:06,0,9
DeRotterda.West.LW.LW02,1,2014-04-03 15:36:20,2014-04-03 15:36:29,9,11
DeRotterda.West.LW.LW02,9,2014-04-03 15:36:39,2014-04-03 15:36:59,11,0
DeRotterda.West.LW.LW02,0,2014-04-03 15:38:05,2014-04-03 15:38:14,0,1
DeRotterda.West.LW.LW02,3,2014-04-03 15:38:21,2014-04-03 15:38:29,1,0
DeRotterda.West.LW.LW02,3,2014-04-03 15:39:18,2014-04-03 15:39:53,0,21
DeRotterda.West.LW.LW02,3,2014-04-03 15:44:48,2014-04-03 15:45:01,21,22
DeRotterda.West.LW.LW02,13,2014-04-03 15:45:44,2014-04-03 15:46:13,22,2
DeRotterda.West.LW.LW02,1,2014-04-03 15:48:44,2014-04-03 15:48:54,2,0
DeRotterda.West.LW.LW02,5,2014-04-03 15:49:39,2014-04-03 15:50:14,0,25
DeRotterda.West.LW.LW02,3,2014-04-03 15:50:22,2014-04-03 15:50:57,25,0
